Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"Leszek Ryszard ""Lech"" Dunecki",M,23,180,73,Poland,POL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
George Gordon Dunston,M,23,0,0,South Africa,RSA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Adrian Kent Russell Durant,M,19,173,68,United States Virgin Islands,ISV,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
"William Joseph ""Bill"" Earle",M,23,174,65,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
William David Eaton,M,23,0,0,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Gilles chevin,M,27,171,69,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Tyrone Damien Edgar,M,26,183,84,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Vincent Franz Harry Edward,M,22,0,0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,Bronze
Norman Edwards,M,21,185,82,Jamaica,JAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Harald Eggers,M,26,172,62,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Ogho-Ogene Omano Egwero,M,23,171,72,Nigeria,NGR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Ogho-Ogene Omano Egwero,M,27,171,72,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Klaus Johannes Ehl,M,23,188,77,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Hans Eicke,M,23,169,58,Germany,GER,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Pablo Enrique Alberto Eitel Schmidt,M,24,174,0,Chile,CHI,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Oskar Ragnar Birger Ekberg,M,25,0,0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Pantelis Ektoros,M,0,0,0,Greece,GRE,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Embark Bouchaib El-Maachi,M,0,167,61,Morocco,MAR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Embark Bouchaib El-Maachi,M,0,167,61,Morocco,MAR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Hassan El-Mech,M,0,173,69,Morocco,MAR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Hamdan El-Tayeb,M,26,175,69,Sudan,SUD,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Jos Luis Elias,M,25,180,67,Peru,PER,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
James Lee Ellington,M,30,179,81,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Allan John Elliot,M,26,0,0,New Zealand,NZL,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Launceston Elliot,M,21,188,102,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Uchenna Emedolu,M,27,183,87,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Uchenna Emedolu,M,31,183,87,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Peter O. Emelieze,M,24,170,65,Nigeria,NGR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Sunday Emmanuel,M,21,174,73,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Andrej Engel,M,22,173,73,Czechoslovakia,TCH,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Hseyin ekip  Engineri,M,0,0,0,Turkey,TUR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Miguel ngel Enrico,M,0,0,0,Argentina,ARG,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Heinz Erbster,M,28,174,72,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Masashi Eriguchi,M,23,170,60,Japan,JPN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Jan Torbjrn Eriksson,M,25,170,68,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Titus Abimbola Erinle,M,25,0,0,Nigeria,NGR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Titus Abimbola Erinle,M,29,0,0,Nigeria,NGR,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Flix A. Escobar,M,0,0,0,Argentina,ARG,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Vin Viktor Eskola,M,29,180,70,Finland,FIN,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Horacio E. Esteves Orihuela,M,19,175,73,Venezuela,VEN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Horacio E. Esteves Orihuela,M,27,175,73,Venezuela,VEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Philippe tienne,M,26,168,72,Haiti,HAI,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Jrgen Evers,M,19,183,65,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Franklin Lynn Eves,M,18,180,75,Canada,CAN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
"Henry Norwood ""Barney"" Ewell",M,30,180,71,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,Silver
"Frdric ""Fritz"" Eyschen",M,25,0,0,Luxembourg,LUX,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Davidson Ezinwa,M,20,184,82,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Davidson Ezinwa,M,24,184,82,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
George Fahoum,M,27,0,0,Egypt,EGY,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Pierre Alexis Louis Failliot,M,23,0,0,France,FRA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Adama Fall,M,25,172,72,Senegal,SEN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Olusoji Adetokumbo Fasuba,M,24,175,78,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Mario Guinemer Fayos Romero,M,21,178,73,Uruguay,URU,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Andrey Romanovich Fedoriv,M,32,177,80,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Grard Fenouil,M,23,177,72,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Frutos Feo Prez,M,24,180,72,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Armnio Gaspar Fernandes,M,28,165,60,Angola,ANG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Santiago Ferrando Dietz,M,20,0,0,Peru,PER,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Afonso Pedro Gonalves Ferraz,M,27,180,76,Angola,ANG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Diego Ferreira,M,28,166,66,Paraguay,PAR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Pedro Ferrer Andino,M,22,168,61,Puerto Rico,PUR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Gyrgy Fetter,M,24,180,74,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Enrique Figuerola Camu,M,22,167,67,Cuba,CUB,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Enrique Figuerola Camu,M,26,167,67,Cuba,CUB,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,Silver
Enrique Figuerola Camu,M,30,167,67,Cuba,CUB,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Paul Fischer,M,0,0,0,Germany,GER,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Andrew Fisher,M,24,0,0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Peter Fitzgerald,M,22,181,75,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
"John Richardson ""Johnny"" Fitzpatrick",M,21,175,60,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Fritz Fleischer,M,18,0,0,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
"James ""Jimmy"" Flemming",M,22,180,76,United States Virgin Islands,ISV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Nabie Foday Fofanah,M,24,182,82,Guinea,GUI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Marian Foik,M,23,172,69,Poland,POL,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Marian Foik,M,26,172,69,Poland,POL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Antonio Evaristo Fondevilla,M,19,0,0,Argentina,ARG,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Rafael Emilio Fortn Chacn,M,28,170,68,Cuba,CUB,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Rafael Emilio Fortn Chacn,M,32,170,68,Cuba,CUB,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
"Charles Merrick ""Charlie"" Francis",M,23,185,81,Canada,CAN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Samuel Adelebari Francis,M,21,180,85,Qatar,QAT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Giovanni Frangipane,M,22,0,0,Italy,ITA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Renos Frangoudis,M,19,170,0,Greece,GRE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Renos Frangoudis,M,27,170,0,Greece,GRE,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Warren Fraser,M,21,172,73,Bahamas,BAH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Lindel Frater,M,22,170,64,Jamaica,JAM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Michael Audley Frater,M,21,170,67,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Michael Audley Frater,M,25,170,67,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
"Michael ""Mike"" Fray",M,24,188,88,Jamaica,JAM,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
"Frank ""Frankie"" Fredericks",M,24,180,73,Namibia,NAM,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,Silver
"Frank ""Frankie"" Fredericks",M,28,180,73,Namibia,NAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,Silver
"Frank ""Frankie"" Fredericks",M,36,180,73,Namibia,NAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Xaver Frick,M,23,0,0,Liechtenstein,LIE,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Karl Johan Fryksdahl,M,22,0,0,Sweden,SWE,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Erich Fuchs,M,27,172,66,Germany,GER,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Stanley Charles Fuller,M,24,0,0,Great Britain,GBR,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
"Heinrich-Ludwig ""Heinz"" Ftterer",M,25,164,72,Germany,GER,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Hiroki Fuwa,M,18,172,63,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Sheikh Oumar Fye,M,24,183,80,Gambia,GAM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Pierre-Richard Gaetjens,M,17,160,50,Haiti,HAI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Pa Mamadou Gai,M,18,167,61,Gambia,GAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Pa Mamadou Gai,M,22,167,61,Gambia,GAM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Romeo Alberto Galn,M,19,0,0,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Franco Galbiati,M,18,0,0,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Pavel Galkin,M,23,186,79,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Johannes Gandil,M,26,0,0,Denmark,DEN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Angel Garca Delgado,M,28,164,71,Cuba,CUB,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
PhilAm Garcia Fernandez,M,20,175,68,Guam,GUM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Jason John Gardener,M,24,176,75,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Jason John Gardener,M,28,176,75,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Keith Alvin Saint Hope Gardner,M,27,175,64,Jamaica,JAM,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Harry Christer Garpenborg (Gustafsson-),M,24,183,80,Sweden,SWE,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Audun Egil Garshol,M,20,180,75,Norway,NOR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Marc Gasparoni,M,25,174,72,France,FRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Justin Alexander Gatlin,M,22,186,80,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,Gold
Justin Alexander Gatlin,M,30,186,80,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,Bronze
Justin Alexander Gatlin,M,34,186,80,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,Silver
Carlos Alberto Gats,M,26,181,73,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Sbastien Gattuso,M,33,180,97,Monaco,MON,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Sbastien Gattuso,M,37,180,97,Monaco,MON,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Angel Merdzhanov Gavrilov,M,24,0,0,Bulgaria,BUL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Tyson Lashane Gay,M,25,181,80,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Tyson Lashane Gay,M,29,181,80,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Egzi Gebre-Gebre,M,23,170,63,Ethiopia,ETH,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Artrs Gedvillo,M,19,0,0,Latvia,LAT,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Wilhelm Adolph Ernst Geerling,M,23,183,73,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Hermann Geiler,M,22,0,0,Austria,AUT,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Adam Ahmed R. Gemili,M,18,178,75,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Georgios Gennimatas,M,0,0,0,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Alexandros Genovelis,M,28,178,68,Greece,GRE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
"John Phelps ""Jack"" George",M,26,0,0,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Rudolph George,M,23,185,70,Sierra Leone,SLE,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Nikolaos Georgopoulos,M,23,175,65,Greece,GRE,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Peter Clarence Gerhardt,M,34,175,68,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Manfred Germar,M,21,182,74,Germany,GER,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Manfred Germar,M,25,182,74,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Ferenc Ger,M,23,0,0,Hungary,HUN,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Ferenc Ger,M,27,0,0,Hungary,HUN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Gbor Ger,M,27,0,0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Morgan Gesmalla,M,0,175,65,Sudan,SUD,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Abdul Ghafoor,M,26,0,0,Afghanistan,AFG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Reza Ghasemi,M,25,182,69,Iran,IRI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Reza Ghasemi,M,29,182,69,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Samuel Augusto Giacosa,M,0,173,0,Argentina,ARG,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
"Ippolito ""Ito"" Giani",M,23,176,67,Italy,ITA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Glenroy John Gilbert,M,27,183,79,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Darren Gilford,M,21,178,73,Malta,MLT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
James Wren Gilkes,M,27,188,72,Guyana,GUY,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Cyril William Gill,M,26,0,0,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Emery Paul Gill,M,26,175,77,Belize,BIZ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Franco Giongo,M,20,0,0,Italy,ITA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Ramon Gittens,M,25,180,79,Barbados,BAR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Ramon Gittens,M,29,180,79,Barbados,BAR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Harvey Edward Glance,M,19,173,67,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Charles Henry Stuart Gmelin,M,23,0,0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Luigi Gnocchi,M,23,0,0,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
"Joseph ""Joe"" Goddard",M,0,0,0,Trinidad and Tobago,TTO,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Bla Goldovnyi,M,22,176,78,Hungary,HUN,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Bla Goldovnyi,M,30,176,78,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Emmanuel Goldsmith,M,18,0,0,Switzerland,SUI,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Francisco Gmez Hechavarra,M,19,169,60,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Isaac M. Gmez,M,26,166,58,Philippines,PHI,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Mario Gmez Daza,M,0,165,61,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Anselmo Gonzaga,M,22,0,0,Philippines,PHI,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Guillermo Gonzlez Zayas,M,22,180,71,Puerto Rico,PUR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Miguel Angel Gonzlez,M,24,169,66,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Toms Pedro Gonzlez Barrios,M,21,178,75,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Leon Gordon,M,22,172,75,Jamaica,JAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Hector Gosset,M,21,0,0,Belgium,BEL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
"Johannes Edouard Willem ""Jalal"" Gozal",M,20,162,57,Indonesia,INA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
"Johannes Edouard Willem ""Jalal"" Gozal",M,24,162,57,Indonesia,INA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
"Samuel Louis ""Sam"" Graddy, III",M,20,178,70,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,Silver
Brian William Green,M,31,167,68,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Michael Green,M,25,176,73,Jamaica,JAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Cejhae Colin Greene,M,20,174,72,Antigua and Barbuda,ANT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
"Charles Edward ""Charlie"" Greene",M,23,173,69,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,Bronze
Maurice Greene,M,26,176,80,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,Gold
Maurice Greene,M,30,176,80,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,Bronze
Ernestus Johannes Christiaan Greven,M,22,0,0,Netherlands,NED,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Fritz Griesser,M,23,0,0,Switzerland,SUI,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Adrian Griffith,M,31,178,75,Bahamas,BAH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
"Johannes Antonius Constantius Marie ""Jan"" Grijseels",M,21,0,0,Netherlands,NED,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Eric G. Grimbeek,M,27,0,0,South Africa,RSA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Alphonse Grisel,M,0,0,0,France,FRA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Amos Grodzinowsky,M,20,174,65,Israel,ISR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Adolphe Eric Groscol,M,24,0,0,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Daniel Alfonso GruesoBarco,M,23,180,79,Colombia,COL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Angel Guerreros,M,19,0,0,Paraguay,PAR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Ricardo Vaz Guimares,M,23,178,0,Brazil,BRA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Needy Guims,M,21,187,81,France,FRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Bjarne Guldager,M,22,177,71,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Sunil B. Gunawardene,M,22,163,52,Sri Lanka,SRI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Desislav Gunev,M,22,184,90,Bulgaria,BUL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Bror Erik Gustafsson,M,28,181,76,Finland,FIN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Marcel Gustin,M,24,0,0,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Elias Gutirrez Campo,M,25,0,0,Colombia,COL,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Francisco J. Gutirrez Hernndez,M,22,175,70,Colombia,COL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Guillermo Gutirrez,M,25,0,0,Venezuela,VEN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Oscar Guttormsen,M,24,0,0,Norway,NOR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Gyula Gyenes,M,25,177,75,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Christian Haas,M,25,181,76,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Christian Haas,M,30,181,76,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Paul Haba,M,21,177,68,Guinea,GUI,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Sudirman Hadi,M,20,171,76,Indonesia,INA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
"Edward Hopwood ""Ted"" Haggis",M,24,184,75,Canada,CAN,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
