Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
"Francis Lawrence ""Frank"" Lukeman",M,26,178,0,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
David Lukuba,M,23,167,64,Tanzania,TAN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Oltion Luli,M,31,182,82,Albania,ALB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Fernando Lumain,M,22,183,76,Indonesia,INA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Lng Tch Thin,M,24,165,62,Vietnam,VIE,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Karl August Luther,M,26,179,64,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Henry Maitland Macintosh,M,19,173,66,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Ian Mackie,M,21,185,80,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Charles Duncan Macmillan,M,21,0,0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Nicolas Macrozonaris,M,20,181,73,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Nicolas Macrozonaris,M,23,181,73,Canada,CAN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Ezio Madonia,M,22,175,70,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Ezio Madonia,M,29,175,70,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Walter Mahlendorf,M,25,182,81,Germany,GER,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
"Francis ""Frank"" Mahoney",M,0,0,0,Bermuda,BER,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Atlee Anthony Mahorn,M,26,187,80,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
"Raimundo ""Rui"" Crtez Maia",M,26,0,0,Portugal,POR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
John Mair,M,24,175,74,Jamaica,JAM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Benedict A. Majekodunmi,M,32,175,66,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Gaston Malam,M,20,0,0,Cameroon,CMR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
"Georges Dsir ""Go"" Malfait",M,27,169,60,France,FRA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
"Georges Dsir ""Go"" Malfait",M,29,169,60,France,FRA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Jean-Yves Mallat,M,21,183,78,Lebanon,LIB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Sven August Malm,M,26,0,0,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Clifford Sibusiso Mamba,M,21,170,70,Swaziland,SWZ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Bernard Manana,M,20,175,60,Papua New Guinea,PNG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Wiesaw Jan Maniak,M,26,171,74,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Wiesaw Jan Maniak,M,30,171,74,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Muhammad Mansha,M,22,168,58,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
